State and other areas2,Total Area,,Land Area1,,Water Area1,,,,,,,,,,"Internal Point -
Latitude Value","Internal Point -
Longitude Value"
,,,,,Total,,Inland,,Coastal,,Great Lakes,,Territorial,,,
,Sq. Mi.,Sq. Km.,Sq. Mi.,Sq. Km.,Sq. Mi.,Sq. Km.,Sq. Mi.,Sq. Km.,Sq. Mi.,Sq. Km.,Sq. Mi.,Sq. Km.,Sq. Mi.,Sq. Km.,,
Total3,"3,805,927","9,857,306","3,535,932","9,158,022","269,995","699,284","85,763","222,125","42,371","109,742","60,094","155,643","81,767","211,774",,
,,,,,,,,,,,,,,,,
United States4,"3,796,742","9,833,517","3,531,905","9,147,593","264,837","685,924","85,647","221,824","42,337","109,652","60,094","155,643","76,759","198,806",,
Alabama,"52,420","135,767","50,645","131,171","1,775","4,597","1,058","2,740",517,"1,340",—,—,199,516,32.7396323,-86.8434593
Alaska,"665,384","1,723,337","570,641","1,477,953","94,743","245,383","19,304","49,997","26,119","67,647",—,—,"49,320","127,739",63.346191,-152.8370679
Arizona,"113,990","295,234","113,594","294,207",396,"1,026",396,"1,026",—,—,—,—,—,—,34.2099643,-111.602401
Arkansas,"53,179","137,732","52,035","134,771","1,143","2,961","1,143","2,961",—,—,—,—,—,—,34.8955256,-92.4446262
California,"163,695","423,967","155,779","403,466","7,916","20,501","2,833","7,339",245,634,—,—,"4,837","12,528",37.148573,-119.5406515
Colorado,"104,094","269,601","103,642","268,431",452,"1,170",452,"1,170",—,—,—,—,—,—,38.9935752,-105.5077737
Connecticut,"5,543","14,357","4,842","12,542",701,"1,816",171,443,530,"1,372",—,—,—,—,41.5797842,-72.7466666
Delaware,"2,489","6,446","1,949","5,047",540,"1,399",91,237,355,920,—,—,94,242,38.9935501,-75.4473739
District of Columbia,68,177,61,158,7,19,7,19,—,—,—,—,—,—,38.9041485,-77.0170942
Florida,"65,758","170,312","53,625","138,887","12,133","31,424","5,027","13,019","1,349","3,495",—,—,"5,757","14,911",28.4574302,-82.4091478
Georgia,"59,425","153,910","57,513","148,959","1,912","4,951","1,412","3,657",46,119,—,—,453,"1,175",32.629384,-83.4232125
Hawaii,"10,932","28,313","6,423","16,635","4,509","11,678",42,109,9,23,—,—,"4,458","11,546",19.809767,-155.5061027
Idaho,"83,569","216,443","82,643","214,045",926,"2,398",926,"2,398",—,—,—,—,—,—,44.3020948,-114.5956254
Illinois,"57,914","149,995","55,519","143,793","2,395","6,202",820,"2,124",—,—,"1,575","4,078",—,—,40.1028754,-89.1526108
Indiana,"36,420","94,326","35,826","92,789",593,"1,537",361,935,—,—,233,602,—,—,39.9030256,-86.2839503
Iowa,"56,273","145,746","55,857","144,669",416,"1,077",416,"1,077",—,—,—,—,—,—,42.0700243,-93.4933473
Kansas,"82,278","213,100","81,759","211,754",520,"1,346",520,"1,346",—,—,—,—,—,—,38.4985464,-98.3834298
Kentucky,"40,408","104,656","39,486","102,269",921,"2,387",921,"2,387",—,—,—,—,—,—,37.5336807,-85.2929841
Louisiana,"52,378","135,659","43,204","111,898","9,174","23,761","4,562","11,815","2,880","7,460",—,—,"1,732","4,486",30.8577705,-91.803273
Maine,"35,380","91,633","30,843","79,883","4,537","11,750","2,314","5,992",591,"1,530",—,—,"1,633","4,228",45.3906022,-68.6574869
Maryland,"12,406","32,131","9,707","25,142","2,699","6,990",768,"1,990","1,820","4,714",—,—,111,286,38.9466584,-76.6744939
Massachusetts,"10,554","27,336","7,800","20,202","2,754","7,134",486,"1,258","1,177","3,048",—,—,"1,092","2,829",42.1565196,-71.4895915
Michigan,"96,714","250,487","56,539","146,435","40,175","104,052","2,001","5,182",—,—,"38,174","98,870",—,—,44.8410835,-85.6593197
Minnesota,"86,936","225,163","79,627","206,232","7,309","18,930","4,763","12,336",—,—,"2,546","6,594",—,—,46.3161343,-94.1994801
Mississippi,"48,432","125,438","46,923","121,531","1,509","3,907",769,"1,992",616,"1,596",—,—,123,318,32.6864655,-89.6561493
Missouri,"69,707","180,540","68,742","178,040",965,"2,501",965,"2,501",—,—,—,—,—,—,38.35075,-92.4567826
Montana,"147,040","380,831","145,546","376,962","1,494","3,869","1,494","3,869",—,—,—,—,—,—,47.0511771,-109.6348174
Nebraska,"77,348","200,330","76,824","198,974",524,"1,356",524,"1,356",—,—,—,—,—,—,41.5438105,-99.8123253
Nevada,"110,572","286,380","109,781","284,332",791,"2,048",791,"2,048",—,—,—,—,—,—,39.3310928,-116.6151469
