Geography,25 to 34 years,Median age (years),65 years and over,Hispanic or Latino (of any race),White alone,Black or African American alone,Asian alone,Average household size,Females 15 years and over - Never married,College or graduate school (enrolled),Percent bachelor's degree or higher,Civilian veterans,Foreign born,American,English,German,Median household income (dollars),Per capita income (dollars),Poverty All people,"Management, business, science, arts occupations","Natural resources, construction, maintenance occupations","Professional, scientific, and management, administrative services",Manufacturing,"1-unit, detached",20 or more units,Renter occupied,No vehicles available,Median home value (dollars),US Similarity,Alabama Similarity,Alaska Similarity,Arizona Similarity,Arkansas Similarity,California Similarity,Colorado Similarity,Connecticut Similarity,Delaware Similarity,District of Columbia Similarity,Florida Similarity,Georgia Similarity,Hawaii Similarity,Idaho Similarity,Illinois Similarity,Indiana Similarity,Iowa Similarity,Kansas Similarity,Kentucky Similarity,Louisiana Similarity,Maine Similarity,Maryland Similarity,Massachusetts Similarity,Michigan Similarity,Minnesota Similarity,Mississippi Similarity,Missouri Similarity,Montana Similarity,Nebraska Similarity,Nevada Similarity,New Hampshire Similarity,New Jersey Similarity,New Mexico Similarity,New York Similarity,North Carolina Similarity,North Dakota Similarity,Ohio Similarity,Oklahoma Similarity,Oregon Similarity,Pennsylvania Similarity,Rhode Island Similarity,South Carolina Similarity,South Dakota Similarity,Tennessee Similarity,Texas Similarity,Utah Similarity,Vermont Similarity,Virginia Similarity,Washington Similarity,West Virginia Similarity,Wisconsin Similarity,Wyoming Similarity
United States,12.6,38.1,15.6,18.1,60.6,12.3,5.5,2.65,30.6,27.4,32,7.3,13.7,6.1,7.1,13.2,"$60,336","$32,397",13.4,38.2,8.9,11.5,10.1,61.7,9.2,36.1,8.6,"$217,600",0,46.6031,30.0295,22.5029,47.7869,63.4687,35.5097,25.9296,29.6876,174.5182,30.15,34.0971,87.7919,57.4533,14.6174,47.0803,58.283,42.7416,53.3637,43.9455,64.4137,43.4126,49.5617,38.4405,43.773,58.1919,42.6136,60.4668,45.315,32.4535,56.5325,35.1012,50.2884,58.9636,26.5018,55.6155,39.4393,40.4215,31.8158,32.4529,34.2342,35.9362,57.3987,40.4102,33.4434,48.8146,57.4295,25.8709,31.3059,72.8725,44.1609,58.6746
Alabama,12.2,38.9,16.5,4.1,65.5,26.7,1.3,2.58,29.4,26.1,25.5,8.9,3.5,17,6.5,6.3,"$48,123","$26,498",16.9,34.8,9.4,9.4,14.3,67.8,4,32,5.9,"$141,300",46.6031,0,54.0326,49.4242,25.3038,104.3718,62.5328,58.4327,35.9507,196.9813,54.0131,33.286,119.955,52.2146,52.6565,35.1188,52.6801,45.5815,31.9834,25.2784,57.1894,68.2757,82.3248,35.9826,58.2161,25.4888,33.8695,55.1923,50.7481,63.9176,65.2556,77.9043,55.8253,100.1267,21.5213,69.1866,33.4838,28.144,56.6553,48.6358,65.2373,13.5069,49.3044,21.4129,59.4597,60.0729,58.088,48.134,62.229,51.7894,48.6822,55.9281
Alaska,13.1,34.5,11.2,7,60.6,2.9,6.6,2.84,29.4,23.8,28.8,11.9,7.9,3,7.7,15.3,"$73,181","$34,222",11.1,37.4,11.2,7.7,3.6,62.6,5,36.5,10,"$273,100",30.0295,54.0326,0,32.8084,51.5764,72.6144,36.613,42.2401,42.0219,184.4487,54.2195,47.9466,86.7784,50.8428,37.3361,49.2498,54.1325,45.8711,55.3532,48.135,62.6832,57.5831,58.5122,48.11,47.1701,64.0014,48.2231,51.8003,45.6245,42.455,53.183,51.0317,53.8379,78.9515,39.0913,50.566,47.6088,38.631,34.5853,43.7968,46.7509,45.0857,48.4282,47.1397,47.8729,43.8197,57.1246,36.8106,31.9368,66.402,46.6104,48.8245
Arizona,12.2,37.7,17.1,31.4,54.7,4.1,3.2,2.69,30,26.5,29.4,9,13.2,3.4,8,12.7,"$56,581","$29,420",14.9,36.1,8.9,12.4,6.8,64.7,7,35.3,5.8,"$223,400",22.5029,49.4242,32.8084,0,51.068,61.4676,35.7686,40.8085,41.1065,184.1371,28.6783,34.5774,87.8508,52.9344,33.8603,49.0414,54.9199,43.0931,54.2448,48.4866,63.182,54.6115,62.7006,45.2088,50.0319,58.633,46.2819,55.6671,43.8319,29.0734,55.4514,45.5601,32.1695,71.5225,32.2789,59.6584,45.4076,38.2226,35.6311,45.5476,43.9731,40.6373,51.2162,43.5513,28.9315,46.1827,57.9638,38.9498,36.7048,69.1736,45.338,54.0119
Arkansas,12.3,38.1,16.5,7.4,72.3,15.2,1.6,2.53,24.6,23.7,23.4,8.9,4.7,10.6,7.1,9.6,"$45,869","$25,316",16.4,34,10,7.6,13.3,69.9,2.6,34.7,6.3,"$128,500",47.7869,25.3038,51.5764,51.068,0,107.2956,59.5766,59.8965,49.4145,211.5251,55.2169,47.3498,122.3788,37.0136,54.9803,25.4466,41.2039,31.6853,22.3032,36.4214,48.1132,82.8395,78.6686,31.0664,53.9599,36.965,25.4333,42.2161,38.9919,62.4614,59.8394,79.8081,60.4805,102.0305,29.0651,59.1104,28.3276,18.8454,47.5791,44.8996,60.8211,30.0307,40.2882,14.8167,59.6835,52.7567,53.9718,54.4778,56.4128,34.5856,43.206,42.0319
California,13.2,36.5,13.9,39.1,37,5.5,14.4,2.98,33.6,30.9,33.6,5.2,26.9,3,5.1,7.1,"$71,805","$35,046",13.3,38.7,9.1,13.5,9.1,57.8,12.3,45.2,7,"$509,400",63.4687,104.3718,72.6144,61.4676,107.2956,0,67.2386,65.0449,78.6611,146.2895,62.5187,76.9858,56.0288,110.902,64.5753,105.489,112.2717,95.0703,111.0324,94.3942,115.0824,67.7159,64.173,99.6892,89.0597,108.5006,103.5823,113.3395,97.3837,48.8742,97.0278,51.3725,61.3771,66.5691,86.1905,95.4252,102.108,95.1102,74.8765,87.976,64.7545,95.3249,109.4274,99.8789,51.9321,88.1589,104.9238,71.2562,62.4944,128.9412,97.5296,112.2637
Colorado,13.6,36.8,13.8,21.5,68.2,3.9,3.1,2.57,28.5,27.1,41.2,8.7,9.8,3.8,9.9,18.7,"$69,117","$36,345",10.3,41.9,9.4,13.9,6.9,63.1,10.8,34.8,5.1,"$348,900",35.5097,62.5328,36.613,35.7686,59.5766,67.2386,0,31.6239,48.5221,177.8285,51.2997,58.6868,91.9874,55.743,38.0763,53.15,56.3927,39.6313,61.4334,69.1752,66.1234,53.7549,40.632,51.1502,37.5567,82.5016,50.6633,55.4805,42.0047,53.3752,43.4868,43.0915,61.4781,76.2705,44.4315,50.8462,51.689,48.3912,23.9375,45.997,42.6155,55.7259,54.0084,51.6599,57.2931,36.7799,53.3248,34.0212,15.2082,75.5622,47.1106,53.9247
Connecticut,11.7,40.9,16.8,16.1,66.7,9.9,4.5,2.56,32.2,30.6,38.7,5.8,14.8,3.7,8.2,9,"$74,168","$42,029",9.6,43.6,7.4,11.4,10.5,59.3,9.1,33.8,8.6,"$273,100",25.9296,58.4327,42.2401,40.8085,59.8965,65.0449,31.6239,0,33.642,165.8486,44.4196,53.9467,90.9011,68.9029,24.6562,58.1899,66.8126,51.7512,63.8933,61.6751,68.4033,36.9106,28.9953,47.7501,43.9966,75.2015,53.9632,67.4004,54.2446,46.5751,43.1571,30.6164,63.798,60.018,42.8714,60.9461,50.3489,53.7711,36.8654,36.2569,25.7754,49.4258,66.6083,51.8598,54.373,47.5198,53.2847,24.6827,30.6757,81.5621,51.4905,68.2446
Delaware,11.5,40.1,18,9.3,62.2,21.5,4,2.62,32.3,29.6,31.5,8.5,10.2,14.5,8.3,11.3,"$62,852","$33,887",13.6,40.7,8.4,9.4,7.8,58.4,4.5,29.1,5.6,"$252,800",29.6876,35.9507,42.0219,41.1065,49.4145,78.6611,48.5221,33.642,0,176.3106,40.9376,35.7247,100.4663,62.1809,32.3458,51.0879,61.5506,51.5492,56.3313,43.7331,62.2413,43.365,58.5941,39.2481,51.3294,51.0195,47.7212,60.3984,55.8426,52.9851,53.3849,51.5936,58.676,71.476,22.5094,63.4857,48.4269,47.4291,45.3674,36.0349,42.5266,27.4438,64.4663,38.3178,57.151,54.443,54.1027,24.6833,48.8583,71.4801,53.8285,60.7226
District of Columbia,14.7,34,12.1,11,36.5,45.3,4,2.32,55.6,44.3,57.3,4.9,14.7,2.3,4.8,6.7,"$82,372","$52,500",16.6,63.3,2.7,23.4,1.3,12.7,37.6,57.8,35.4,"$607,200",174.5182,196.9813,184.4487,184.1371,211.5251,146.2895,177.8285,165.8486,176.3106,0,173.2482,165.7753,159.2423,227.1915,168.7848,216.4785,227.0012,210.3598,222.0019,179.7037,229.6319,138.0256,149.9165,204.4987,199.6252,190.1901,212.2518,227.229,212.3532,174.6837,206.0857,153.737,185.9866,125.9146,185.1,204.9747,207.2975,207.8597,190.706,191.5055,167.864,188.5144,224.1969,202.9684,173.0416,202.4884,213.6933,165.1673,178.6923,240.9107,210.7191,226.2932
